Months.Since.1Jan1840,Year.Month.Day,bp30to90cm.gm-2
1953,2002-11-01,0.0022951641548977614
1954,2002-12-01,0.002288042347396939
1955,2003-01-01,0.0022867612676271396
1956,2003-02-01,0.0023130980778704176
1957,2003-03-01,0.002350983553534409
1958,2003-04-01,0.002388924359347435
1959,2003-05-01,0.002417494494289426
1960,2003-06-01,0.0024354247101493875
1961,2003-07-01,0.002445356018885713
1962,2003-08-01,0.0024496471648923213
1963,2003-09-01,0.002451315194904942
1964,2003-10-01,0.0024492609327237025
1965,2003-11-01,0.00244495643002447
1966,2003-12-01,0.00244123704546684
1967,2004-01-01,0.0024397035050071954
1968,2004-02-01,0.002554461842401167
1969,2004-03-01,0.00267226961285144
1970,2004-04-01,0.0027863840389581404
1971,2004-05-01,0.0028861074170832865
1972,2004-06-01,0.002968992514774545
1973,2004-07-01,0.0030361137775394838
1974,2004-08-01,0.0030908536823609596
1975,2004-09-01,0.003135688137106045
1976,2004-10-01,0.0031698677623865756
1977,2004-11-01,0.0031985657971297507
1978,2004-12-01,0.003222531895111576
1979,2005-01-01,0.0032465603924023262
1980,2005-02-01,0.0032802418244710497
1981,2005-03-01,0.0033248435851985125
1982,2005-04-01,0.003369740050708774
1983,2005-05-01,0.003410920360993548
1984,2005-06-01,0.0034377465800176535
1985,2005-07-01,0.0034552802786125976
1986,2005-08-01,0.003466149131340415
1987,2005-09-01,0.0034747068078632326
1988,2005-10-01,0.0034775888654359627
1989,2005-11-01,0.0034766379164519914
1990,2005-12-01,0.0034746171805754658
1991,2006-01-01,0.003474965775607294
1992,2006-02-01,0.0034637060939126615
1993,2006-03-01,0.0034640673438358213
1994,2006-04-01,0.003466544709483622
1995,2006-05-01,0.003463423842811324
1996,2006-06-01,0.003454982320965467
1997,2006-07-01,0.0034407247053986354
1998,2006-08-01,0.00342542751954382
1999,2006-09-01,0.003408652194392383
2000,2006-10-01,0.0033878825248258105
2001,2006-11-01,0.003367243405232108
2002,2006-12-01,0.0033449059497011584
2003,2007-01-01,0.003328695647575357
2004,2007-02-01,0.0033719640216738245
2005,2007-03-01,0.0034275102709847836
2006,2007-04-01,0.0034836760455376034
2007,2007-05-01,0.0035273446437373373
2008,2007-06-01,0.0035619516988266305
2009,2007-07-01,0.0035843254941693927
2010,2007-08-01,0.0036017352411654973
2011,2007-09-01,0.003616099288259116
2012,2007-10-01,0.0036265357812494685
2013,2007-11-01,0.0036317455550603467
2014,2007-12-01,0.0036340277707846316
2015,2008-01-01,0.003638132614104046
2016,2008-02-01,0.003645213990695591
2017,2008-03-01,0.0036618275288266026
2018,2008-04-01,0.00368237576047345
2019,2008-05-01,0.003695311939801121
2020,2008-06-01,0.0037035513471668905
2021,2008-07-01,0.003705715310841785
2022,2008-08-01,0.0037031384317068186
2023,2008-09-01,0.003699858163055144
2024,2008-10-01,0.003694907048279632
2025,2008-11-01,0.003685417882165398
2026,2008-12-01,0.0036746445392712096
2027,2009-01-01,0.0036658382952862952
2028,2009-02-01,0.003272601339710152
2029,2009-03-01,0.0029612969164513267
2030,2009-04-01,0.0027152589774761104
2031,2009-05-01,0.00251379884421884
2032,2009-06-01,0.0023451077953944455
2033,2009-07-01,0.002205385695223879
2034,2009-08-01,0.00209307497405195
2035,2009-09-01,0.0020029549783276705
2036,2009-10-01,0.0019274375418198628
2037,2009-11-01,0.0018651657639047546
2038,2009-12-01,0.001815905605940578
2039,2010-01-01,0.001779217957385377
2040,2010-02-01,0.0017062851643498277
2041,2010-03-01,0.001659781184856826
2042,2010-04-01,0.0016303012320609887
2043,2010-05-01,0.001602207597557497
2044,2010-06-01,0.0015719583835705337
2045,2010-07-01,0.0015455373674473725
2046,2010-08-01,0.0015238908861729542
2047,2010-09-01,0.0015052892430011697
2048,2010-10-01,0.0014884919758593946
2049,2010-11-01,0.0014749022975644338
2050,2010-12-01,0.001465263737425236
