Months.Since.1Jan1840,Year.Month.Day,cp30to90cm.gm-2
1820,1991-10-01,3.1915668323659926e-4
1821,1991-11-01,3.1675920454162215e-4
1822,1991-12-01,3.150891792229271e-4
1823,1992-01-01,2.82570783149667e-4
1824,1992-02-01,2.9261987352581173e-4
1825,1992-03-01,3.0522978623341476e-4
1826,1992-04-01,3.1730267240278503e-4
1827,1992-05-01,3.2417369307792456e-4
1828,1992-06-01,3.2629389938708235e-4
1829,1992-07-01,3.261767516910522e-4
1830,1992-08-01,3.252377968568622e-4
1831,1992-09-01,3.24040670608873e-4
1832,1992-10-01,3.22874050858448e-4
1833,1992-11-01,3.215355649131485e-4
1834,1992-12-01,3.2080079425077164e-4
1835,1993-01-01,3.598399892588235e-4
1836,1993-02-01,3.4944649308181166e-4
1837,1993-03-01,3.4523908462669466e-4
1838,1993-04-01,3.4520778287762063e-4
1839,1993-05-01,3.4350511510183667e-4
1840,1993-06-01,3.3975145894908046e-4
1841,1993-07-01,3.345723959431088e-4
1842,1993-08-01,3.2985292523604707e-4
1843,1993-09-01,3.2590630089921526e-4
1844,1993-10-01,3.2195752396626116e-4
1845,1993-11-01,3.191690595301681e-4
1846,1993-12-01,3.170044292007326e-4
1847,1994-01-01,3.3953745397869963e-4
1848,1994-02-01,3.360344000447301e-4
1849,1994-03-01,3.360431673555145e-4
1850,1994-04-01,3.36421420213518e-4
1851,1994-05-01,3.3559523619668385e-4
1852,1994-06-01,3.3261367332764835e-4
1853,1994-07-01,3.283980294367304e-4
1854,1994-08-01,3.242735194928476e-4
1855,1994-09-01,3.1997800159743345e-4
1856,1994-10-01,3.1620360780245483e-4
1857,1994-11-01,3.1272531629782937e-4
1858,1994-12-01,3.0984490215918247e-4
1859,1995-01-01,2.5435216501144283e-4
1860,1995-02-01,2.7181477832724743e-4
1861,1995-03-01,2.893812771417861e-4
1862,1995-04-01,3.0448442841622393e-4
1863,1995-05-01,3.151382102568266e-4
1864,1995-06-01,3.203605092785566e-4
1865,1995-07-01,3.227504856079915e-4
1866,1995-08-01,3.233417800849025e-4
1867,1995-09-01,3.234981514622897e-4
1868,1995-10-01,0.00032304289820640167
1869,1995-11-01,3.224090568103437e-4
1870,1995-12-01,3.2127729135182973e-4
1871,1996-01-01,2.517339364106209e-4
1872,1996-02-01,2.6781670468279707e-4
1873,1996-03-01,2.8330760316157234e-4
1874,1996-04-01,2.982074369469118e-4
1875,1996-05-01,3.089605704161539e-4
1876,1996-06-01,3.159574043816956e-4
1877,1996-07-01,3.1987763802398986e-4
1878,1996-08-01,3.223674804941308e-4
1879,1996-09-01,3.240446549562818e-4
1880,1996-10-01,3.245434045941342e-4
1881,1996-11-01,3.246298849450467e-4
1882,1996-12-01,3.2451307277249724e-4
1883,1997-01-01,3.4437302478224335e-4
1884,1997-02-01,3.4203040156374694e-4
1885,1997-03-01,3.430382163225941e-4
1886,1997-04-01,3.4494300500545206e-4
1887,1997-05-01,3.451000884473274e-4
1888,1997-06-01,3.4412439985662986e-4
1889,1997-07-01,3.4155301336769234e-4
1890,1997-08-01,3.388722851687257e-4
1891,1997-09-01,3.358906051739666e-4
1892,1997-10-01,3.3199713352576846e-4
1893,1997-11-01,3.285544250513189e-4
1894,1997-12-01,3.264768042964938e-4
1895,1998-01-01,3.5226415887919824e-4
1896,1998-02-01,3.492057796492972e-4
1897,1998-03-01,3.4928797501530796e-4
1898,1998-04-01,3.5126258807833085e-4
1899,1998-05-01,3.512945582809626e-4
1900,1998-06-01,3.493103146579916e-4
1901,1998-07-01,3.458088811573807e-4
1902,1998-08-01,3.425117833889125e-4
1903,1998-09-01,3.39381985260775e-4
1904,1998-10-01,3.3619252843737396e-4
1905,1998-11-01,3.335650371444993e-4
1906,1998-12-01,3.3217549539133904e-4
1907,1999-01-01,3.805136703951646e-4
1908,1999-02-01,3.692856384798434e-4
1909,1999-03-01,3.616106162095789e-4
1910,1999-04-01,3.569195331628022e-4
